Company_Name,Job_Description,Job_Location_City,Job_Location_Region,Title
Cottonwood Financial,"Reporting to our Director of Decision Science, the Data Scientist (a.k.a. Decision Science Analyst) position’s charter is to increase the company’s profits through data science, machine learning, and advanced statistical analytics techniques in the areas of payments, collections, operations, and companywide cross-functional projects. This individual will be a member of an exciting, fast-paced, and growing team making an immediate impact across the entire company. This is a great opportunity for a talented person to broaden his/her business skill set through exposure to a wide variety of business problems and challenge him/herself with projects that can span from tactical to strategic in nature. Data Scientists are based at our Corporate Office (HQ) in Irving (Las Colinas), Texas. KEY RESPONSIBILITIES Provide data science solutions for the profitable management of key business areas of payments, collections, operations, and other companywide cross-functional projects by monitoring trends, identifying opportunities, developing and presenting recommendations, implementing the strategies, and measuring the impact Work with the latest open source tools, libraries, platforms, and languages to build effective machine learning models to be used in non-credit decisioning throughout the firm Proactively collaborate with Credit Risk Management, Marketing Analytics, Marketing, Data Management & Governance, Application Development, Operations, Product Management, Compliance, and other internal groups to implement new business practices and decisioning strategies Accountable for the successful management and completion of multiple concurrent projects that are on-time and with high quality Provide timely and justified recommendations in response to ad hoc analysis requests by internal groups Act as an internal resource for Python best practices Develop actionable reports for use by the senior leadership team REQUIREMENTS BS in an analytical field such as Data Science, Machine Learning, Analytics, Statistics, Computer Science, or highly quantitative engineering (e.g. Chemical Engineering, Mechanical Engineering) 2+ years of hands-on work experience developing data science solutions 2+ years of coding experience in open source programming languages such as Python or R Advanced user of database query languages such as SAS and SQL Results-oriented self-starter who is confident in defending his/her critical thinking abilities Proven track record of developing successful predictive analytics (i.e. statistical modeling) Capitalistic mindset supported by a strong business acumen and work ethic Demonstrated ability to communicate ideas and analysis results effectively both verbally and in writing to a non-technical audience Local (Dallas/Fort Worth area) candidates only – no relocation Must be currently authorized to work in the United States without sponsorship and not require sponsorship in the future PREFERRED QUALIFICATIONS Master’s degree in a Quantitative field strongly preferred 3+ years of hands-on work experience developing data science solutions leveraging data mining, machine learning, deep learning, operations research, or Bayesian methods Work experience in consumer credit COMPENSATION Annual salary of $75,200 BENEFITS Medical, dental, and vision Voluntary life/ AD&D Short-term & long-term disability 401K with company match Paid vacation, holidays, and sick time Paid maternity, paternity, extended medical leave, and jury duty Corporate discount program on personal cell phone accounts with select providers Business casual work environment ABOUT COTTONWOOD Founded in 1996, Cottonwood Financial is one of the largest privately held retail consumer finance companies in the United States. We have zero debt, have been profitable every year since inception, and our growth is funded entirely through internally generated capital. Headquartered in Irving (Las Colinas), Texas, we have company-owned locations, under our Cash Store brand, across the country. Through this national brick-and-mortar footprint, we provide best-in-class customer service and offer an innovative mix of financial products and services to our customers. We have been named several times to the Inc. 5000 list of America’s fastest-growing private companies , as well as to the Dallas 100 list of the fastest-growing private companies in North Texas.",Irving,Texas,"Data Scientist at Cottonwood Financial
"
Randstad Technologies,"Seeking less technical Data Science resources.  Candidates with relational modeling experience, not a developer, but someone that primarily services data modeling, using ERD/Erwin to create ideal/optimized data models for their services. - 2+ years of Python experience - 2+ years in a data scientist role or MS equivalent with 1+ years professional experience - 2+ years of SQL experience - Excellent problem solving and troubleshooting skills - Process oriented with great documentation skills - Excellent oral and written communication skills - BS/MS in Computer Science, Engineering, MIS or similar relevant field  - Experience with unsupervised learning and/or anomaly detection a strong plus  - Experience with current state-of-art NLP models (e.g. DistilBERT) a strong plus  - Experience with or knowledge of Agile Software Development methodologies  - Experience with unit/integration tests and documenting work  - Experience with Azure and AzureML deployment a plus  - Experience with git/github VCS  Equal Opportunity Employer: Race, Color, Religion, Sex, Sexual Orientation, Gender Identity, National Origin, Age, Genetic Information, Disability, Protected Veteran Status, or any other legally protected group status. ",Tampa,Florida,"Data Scientist at Randstad Technologies
"
BEAT LLC,"MUST BE A U.S. CITIZEN WITH A TOP SECRET SSBI SECURITY CLEARANCE Ability to develop analytics for multiple cyber weapon systems with many different infrastructure and end-point devices. Ability to incorporate predictive, descriptive, and presumptive modeling; machine learning; artificial intelligence into analytics. Must be able to code proficiently in one or more of the following languages: Python, R, Scala, Spark, and Maven. Develop algorithms in one or more of the following Machine Learning areas: anomaly detection, one/few-shot learning, deep learning, unsupervised feature learning, ensemble methods, probabilistic graphical models, reinforcement learning. Ability to develop analytics based upon the Mitre ATT&CK Matrix or other applicable CS&D framework to discover, identify, characterize, and/or create signatures for cyberspace threat activity. Ability to assist in the development and implementation of a data analytics program. Develop robust documentation and comprehensive user manuals for all developed projects  Original Hire Document for data scientist below: Job Responsibilities: · Perform big data analysis on information technology infrastructure and end-point devices · Customer outreach and engagement · Problem solving · Time management · Collaborate with others · Mission focused · Deliver findings · Accept and assess customer data, dashboard, requirements · Identify new ways to visualize and analyze data · Develop analytics to identify anomalous activity based on customer requirements · Perform hunt operations identifying anomalous activity · Produce reports based on misconfigurations and/or anomalous activity discovered through analysis   Knowledge/Skills Ability: Required: · Ability to analyze and assess software development or data acquisition requirements and determine optimum, cost-effective solutions. · Proficiency in one or more big data programming languages, such as R, Python, Scala, or Spark and Maven. · Experience working with a hybrid team of analysts, visualization experts, engineers, and developers to conduct research, and build and deploy complex, but easy-to-use analytical platforms. · Previous experience performing research in Data Analytics or big data. · Be Director of Central Intelligence Directives 6/4 eligible (Top Secret) with a current Single Scope Background Investigation (SSBI)  Minimum Experience/Education: · At least one (1) of the following: · One (1) year experience in cyberspace operations · IAT Level 1 per DoD 8140 (Net+, Sec+, etc.) · Experience on National/Service cyber weapon system/platform within last five years  Highly Desired: · Education/ Certifications: · 4+ years of experience in data analytics or quantitative intelligence analysis · Four (4) years of experience in an intelligence field at a tactical or operational level · DoD 8570 IAT related BA/BS degree *BEAT LLC IS AN EQUAL OPPORTUNITY EMPLOYER - DISABILITY AND VETERANS*",San Antonio,Texas,"Data Scientist at BEAT LLC
"
Connexions Data Inc.,"Deliverables include: All Acquisition Package Documentation including: Requirement refinement Performance Work Statement Product Description Security Checklist GFE Memos QASP IGCE Justification and Approval Market Research Worksheet Acquisition Plan COR Nomination Worksheet Knowledge of appropriate data sources to address the specific requirements of projects for monitoring, characterization, analysis and modeling Able to perform scientific research, scientific writing and editing, including the writing and editing of project products to established government standards for the targeted science and lay audiences, proofreading of draft and final documents Able to work independently Able to present project work and participate in discussions at meetings and workshops Experience implementing Electronic Health Records",Washington,District of Columbia,"Data Scientist at Connexions Data Inc.
"
UCB,"            Let's push the boundaries together and make the most of your talents!           Senior Biostatistician 1           Location:    Boston, Massachusetts, United States            Job Function:  Clinical Development          Job ID:  68606                  Help us transform patients' lives.          At UCB, we put our heart, soul and skills into making a difference for people living with significant unmet needs. Working together, we blend the best of our talents to deliver thoughtful solutions that patients value. Will you join us in this pioneering adventure?                    To strengthen our       Global Statistics team       , based in our Boston Office in Cambridge, MA, we are looking for a talented individual to fill the position of:       Senior Biostatistician.                   As a Senior Statistician you will be driving statistical input in one or more individual clinical studies within a clinical program or across multiple clinical programs. Performing exploratory statistical analysis to gain novel insight that can be used to help inform the development of existing or new compounds.  The role will require the Senior Biostatistician to work effectively with other cross-functional teams within and outside Statistical Sciences and Innovation (SSI).                   You like to work in an        environment        where you can:                   Lead one or more biomarker, ‘omics or big data projects, offering expert statistical input across all stages of analysis, from feasibility and optimal study design to dissemination of results.                  Oversees the development and maintenance of advance predictive models to improve decision-making for clinical studies, clinical strategy, operational efficiency and patient experience.                  Communicate results to clinical teams and non-technical audiences focusing on the significance of the findings and interpreting them in the context of the broader scientific questions.                  Support studies across all stages of clinical development by providing evidence in support of studies using datamining approaches.                  Contribute to raising the profile of the department with the dissemination of scientific findings through papers, conferences and seminars.                  Communicates and coordinates all statistical activities with external partner biostatisticians. Ensuring the implementation of global, program and SSI standards by all biostatisticians contributing to the project.                  Provides input on interpretation of results by attending and presenting at the Results Interpretation Meeting (RIM). Reviews and inputs into the clinical study report.                  Assists the biostatistician lead for a program of studies with the statistical deliverables for regulatory submissions and the lifecycle of a development compound.                     You will        contribute        by:                  Providing novel statistical methods using Machine Learning and AI                Implement and apply Statistical methodology within a clinical development setting                Effectively contributes within cross-functional or multi-disciplinary groups                Stays current with ongoing developments in statistical methods applications in the pharmaceutical industry.                Acts as a resource for other biostatisticians in SSI                Communicates complex issues in nontechnical language by using visuals, simulations and other illustrative techniques.                Provides statistical sciences training to UCB employees from different disciplines on statistical concepts.                Seeks opportunity to represent UCB by active participation in external professional/technical forum and defend statistical strategy in front of regulatory authorities when required.                Contributes and reviews abstracts, posters, presentations and manuscripts for publication and ensures accuracy of all biostatistical aspects of such documents                   I        nterested? For this position you’ll need the following        education, experience        and        skills:                  Educated to PhD level within a Statistical or computational field                Have strong experience using R and Python                Experience in data visualisation (RShiny)                Experience in Machine learning/AI and applying Big Data methodology                  Why you should apply             At UCB, we strive to attract passionate and outstanding talents who thrive on change and are ready to bring real value to patients. Working for us you’ll discover a place where you can grow and express your full potential. We place an emphasis on innovation, collaboration and impact. Through meaningful recognition and a motivating work atmosphere, we aim to provide an optimal experience by caring about and valuing our employees – just as we do for the patients we serve.              If you believe you are the perfect match to join us on our pioneering adventure, then we invite you to apply and tell us more about your profile and motivation.                   About Us         At UCB, we come together every day to work, laser-focused, on a simple question: How will this create value for people living with severe diseases? By putting patients at the heart of everything we do, our approach – from discovery to development to delivery – is continuously transformed and designed around patient needs and their journey.        With a team of approximately 7,500 employees worldwide operations in more than 40 countries, we are a global biopharmaceutical company investing more than a quarter of our revenue in cutting-edge scientific research. We are focused on addressing chronic, neurological, immunological, and bone diseases. We are looking for people with passion and empathy who develop a real understanding of patient’s needs and can deliver thoughtful solutions to decisionmakers across the heath care ecosystem.        Curious to know more? Please visit our website   www.ucb.com   .          UCB and its subsidiaries encourage diversity and inclusion in the workplace; we are an Equal Opportunity Employer. We do not discriminate on the basis of race/color/religion/sex/national origin/veteran/disability/age/sexual orientation/gender identity.            Job Segment:  Neurology, Immunology, Law, Statistics, Pharmaceutical, Healthcare, Legal, Data, Science  ",Boston,Massachusetts,"Senior Biostatistician 1 at UCB
"
PSEG,"This is an exciting time to be joining PSEG. Our commitments, which include safety, integrity, customer focus, and diversity & inclusion, are the fabric of our culture and help drive the success of our business. We are fortunate to have an outstanding workforce of diverse and highly skilled talent who move us forward in our operational excellence journey. PSEG has more than 12,000 employees who are dedicated to the communities we serve and embody our vision: People providing Safe, Reliable, Economic and Greener Energy. Job Summary This opportunity is open to current PSEG employees only. Job Responsibilities Job Specific Qualifications Required at the Business Support Specialist level: Desirable: Minimum Years of Experience Education Disclaimer Nearest Major Market: Nearest Secondary Market: Job Segment:",Newark,New Jersey,"Business Support Specialist - Customer Operations at PSEG
"
VW Automotive Cloud,"Dear game-changers, problem-solvers, dreamers and doers: Join the growing diverse and innovative team of the Volkswagen Automotive Cloud (VWAC), LLC based in the tech hub that is the Seattle region. VWAC, LLC is a newly formed entity and a US based extension of the German Car Software organization of the VW Group of Companies. VWAC’s mission is to shape and revolutionize the future of mobility for people everywhere through the implementation of a proprietary cloud-based platform – designed to deliver innovative, new connected car services and solutions tailored to customer needs. By 2025, all new VW Group models will run on a proprietary vehicle operating system and the Volkswagen Automotive Cloud. This is an exciting opportunity to be part of a mission-driven and values-based culture that invests in its people and is obsessed with delighting its customers. Let’s make a good impact in people’s lives. Let’s bring to the world the future of mobility. Role Summary: This position is part of the Platform Architecture group at the Volkswagen Automotive Cloud in Seattle, WA. The Platform Architecture group focuses on all aspects of the information and entertainment experience in and outside of the vehicle including device integration, Intelligent Body and Cockpit, Autonomous Driving, Energy and Propulsion, and Service Platform for Cloud Delivered Mobility Services.  The Principal Enterprise Architect plays a key role in designing a holistic view and an implementation roadmap for infrastructure, applications, data, and security. The Architect needs to align the Automotive Cloud architecture with the overall Volkswagen Platform architecture. The position’s responsibilities include providing technology lifecycle and enterprise technology planning and design support and major program technology steering for the group. Role Responsibilities: Enterprise Architecture Management (50%) Manages standards for cloud technologies – be a leader in understanding, applying, and inventing architectural design patterns Participates in development, architecture, and product roadmap work groups Introduces, provides and reviews architectural work in local projects in a joint approach with the local companies based on a secure Architecture Development Method Makes recommendations, gains approval, and develops implementation strategies for new technologies based on business requirements API surface area definition and service composability Ensures the architectural fit of the software produced by the VW Automotive Cloud with the overall global Volkswagen Platform architecture Ensures the cloud services can be integrated in Volkswagen group vehicles Ensures an environment for continuous development and deployment Ensures permanent optimization of the overall architecture due to permanent changing requirement Technology Management (50%) Supports Technology and Application Lifecycle decisions Develops Enterprise Solution Strategies Creates project proposals for enterprise capabilities and presents to Management Provides leadership support for strategic projects in the region to insure alignment with group  guidelines Shares best practices and ensures communication among the countries Defines robust frameworks for APIs and services, data flows and management, and apps Defines system wide monitoring strategy    Required Experience: Minimum of 10+ years IT experience mainly in the area of System Design, Enterprise Architecture with focus on emerging Cloud technologies. Automotive and business processes experience preferred. Required Education: Bachelor in MIS Computer Science or Business Administration Desired Education: Master in MIS Computer Science or Business Administration Required Skills: Excellent, proven interpersonal, verbal and written communications skills Proficiency with office computer equipment and software (e.g. MS Office) Demonstrated ability to collaborate with multiple teams Integration – joining people, processes or systems Effective problem solving skills Ability to multi-task and be organized with multiple projects/tasks at one time Displays and exemplifies professional integrity to all audiences Analytical and conceptual thinking – using logic and reason, creative and strategic thought process General IT background including common IT architectures (hardware and software) Experience in an international environment preferably in major IT Services organizations Required Specialized Skills: Extensive experience in cloud technologies, ideally Azure and/or AWS Strong knowledge of data science, Artificial Intelligence, and Machine Learning Experience with relational database architecture, schema design, and development Experience with big data design and tools (graph, streaming, data factories, etc.) Application, component, and/or service development with C++, C#, Java, Python or similar Experience in using Agile and DevOps tools and methods Extensive experience rolling out architectural processes in a multi-cultural environment Experience in working with EA frameworks/methodology Passion for customer experience and quality Cultural awareness and sensitivity Builds sustainable relationships with colleagues and customers Proven ability to cope with conflict, stress and crisis situations Strong leadership and negotiation skills with business, technical groups and suppliers Ability to establish, implement, and enforce appropriate IT standards Desired Skills: Language skills in (German, Spanish, Portuguese) Experience and network within the Volkswagen Group Experience in aligning a business and IT architecture to a corporate strategy Experience with IoT or similar connected device workflows Data-based web app development experience with LAMP, MEAN, or similar Work Flexibility: Must be willing to travel up to 20%  We are proud to be an EEO employer M/F/D/V. We maintain a drug-free workplace and perform pre-employment substance abuse testing.",Redmond,Washington,"Principal Enterprise Architect at VW Automotive Cloud
"
OMI,,Foster City,California,"Data Scientist(R&D Info Systems Analyst II-8903) at OMI
"
TWDC,"Job Summary: Responsibilities: Drive lifecycle experimentation execution framework, enabling experiments within our channel messaging team Identify opportunities to increase experimentation velocity while maximizing actionable insights Enable a globally distributed channel messaging team to conduct experiments using longitudinal, omni-channel and other experimentation means Perform analyses on experimentation efficacy and define opportunities Present regular experimentation execution insights to stakeholders Partner with data science and other teams to create broader insights from user messaging Document and/or diagram decisions, system or data flows, user flows Ensure compliance of CAN-SPAM, GDPR, COPPA, VPPA and other regulatory requirements Manage direct reports Basic Qualifications: 7 years in market research, marketing/ product optimization, and/or data or analytics Deep proficiency in statistical and experimental methods Proficient in SQL,R, Python to complete data exercises Proficient with data platforms (e.g. Reshift, Snowflake) Experience with machine learning and scientific computing Attention to detail, with an ability to identify issues and implement remedies Passion for velocity, enabling the team to scale through superior project management Analytic orientation and curiosity, using insights to drive your next course of action An understanding and administration of experimental best practices Superior presentation, communication and documentation skills Experience supporting a large stakeholder team (we're global and distributed) Self-motivated, with a drive to exceed user expectations and enable marketers Proficient in agile methodologies and working knowledge of Jira/Confluence Thrives in ownership Experience managing a professional services team Preferred Qualifications: Experience in an operational role IAPP certification: CIPT, CIPM, CIPP ISACA certification: CRISC and/or CISA Scripting (e.g. AMPscript, Liquid) Required Education Bachelor's degree or equivalent practical experience Additional Information: About Disney Streaming Services:",New York,New York,"Sr Mgr, Marketing Operations (Experimentation Exec at TWDC
"
Roblox,"Director, Data Science & Analytics - Developer WHY DATA SCIENCE & ANALYTICS? WHY DEVELOPER? You Are  Passionate about data. You have the curiosity and self-drive to continuously learn new techniques and tools to extract value from data. You may have a degree in Statistics, Economics, Computer Science or other relevant field.  A strong communicator. You understand that analysis must be presented in meaningful ways and engage in spirited discussions about the findings. You have the ability to explain technical concepts to non-technical audiences in an engaging and inspirational manner.  Unblockable. You understand how to build end-to-end data-driven solutions and can coach teams and individuals on best practices for data transformation, product analytics, experimentation practices, statistical modeling and machine learning.  An inspirational team builder. You apply your data toolbelt to construct a team of individuals and managers into a cohesive, high performing unit composed of generalists sprinkled in with specialists.  You Will  Own a company-level KPI, accompanying core metrics and a suite of analytical roadmaps to generate and mature product playbooks to drive business growth.  Partner with a suite of VP/Director-level partners in product management and engineering to influence product vision and roadmaps.  Grow a team of top talent from 5 to 15 over the next 12 months and plan for continued organizational growth by partnering closely with a high touch recruiting approach.  Coach individuals to improve technical excellence, influence partners and focus on impact over delivery. ",San Mateo,California,"Director, Data Science at Roblox
"
